,signature,body,docstring,id
29184,"fun get(irType: IrType, scope: IrParcelerScope?, parcelizeType: IrType, strict: Boolean = false, toplevel: Boolean = false): IrParcelSerializer","{
    fun strict() = strict && !irType.hasAnyAnnotation(RAW_VALUE_ANNOTATION_FQ_NAMES)
    scope.getCustomSerializer(irType)?.let { parceler -> return IrCustomParcelSerializer(parceler) }
    val classifier = irType.erasedUpperBound
    val classifierFqName = classifier.fqNameWhenAvailable?.asString()
    when (classifierFqName) {
        ""kotlin.String"", ""java.lang.String"" -> return stringSerializer
        ""kotlin.CharSequence"", ""java.lang.CharSequence"" -> return charSequenceSerializer
        ""android.os.Bundle"" -> return IrParcelSerializerWithClassLoader(parcelizeType, symbols.parcelReadBundle, symbols.parcelWriteBundle)
        ""android.os.PersistableBundle"" -> return IrParcelSerializerWithClassLoader(parcelizeType, symbols.parcelReadPersistableBundle, symbols.parcelWritePersistableBundle)
        ""kotlin.Byte"", ""java.lang.Byte"" -> return wrapNullableSerializerIfNeeded(irType, byteSerializer)
        ""kotlin.Boolean"", ""java.lang.Boolean"" -> return wrapNullableSerializerIfNeeded(irType, booleanSerializer)
        ""kotlin.Char"", ""java.lang.Character"" -> return wrapNullableSerializerIfNeeded(irType, charSerializer)
        ""kotlin.Short"", ""java.lang.Short"" -> return wrapNullableSerializerIfNeeded(irType, shortSerializer)
        ""kotlin.Int"", ""java.lang.Integer"" -> return wrapNullableSerializerIfNeeded(irType, intSerializer)
        ""kotlin.Long"", ""java.lang.Long"" -> return wrapNullableSerializerIfNeeded(irType, longSerializer)
        ""kotlin.Float"", ""java.lang.Float"" -> return wrapNullableSerializerIfNeeded(irType, floatSerializer)
        ""kotlin.Double"", ""java.lang.Double"" -> return wrapNullableSerializerIfNeeded(irType, doubleSerializer)
        ""java.io.FileDescriptor"" -> return wrapNullableSerializerIfNeeded(irType, fileDescriptorSerializer)
        ""android.util.Size"" -> return wrapNullableSerializerIfNeeded(irType, sizeSerializer)
        ""android.util.SizeF"" -> return wrapNullableSerializerIfNeeded(irType, sizeFSerializer)
        ""kotlin.UByte"" -> return wrapNullableSerializerIfNeeded(irType, ubyteSerializer)
        ""kotlin.UShort"" -> return wrapNullableSerializerIfNeeded(irType, ushortSerializer)
        ""kotlin.UInt"" -> return wrapNullableSerializerIfNeeded(irType, uintSerializer)
        ""kotlin.ULong"" -> return wrapNullableSerializerIfNeeded(irType, ulongSerializer)
        ""kotlin.IntArray"" -> if (!scope.hasCustomSerializer(irBuiltIns.intType)) return intArraySerializer
        ""kotlin.BooleanArray"" -> if (!scope.hasCustomSerializer(irBuiltIns.booleanType)) return booleanArraySerializer
        ""kotlin.ByteArray"" -> if (!scope.hasCustomSerializer(irBuiltIns.byteType)) return byteArraySerializer
        ""kotlin.CharArray"" -> if (!scope.hasCustomSerializer(irBuiltIns.charType)) return charArraySerializer
        ""kotlin.FloatArray"" -> if (!scope.hasCustomSerializer(irBuiltIns.floatType)) return floatArraySerializer
        ""kotlin.DoubleArray"" -> if (!scope.hasCustomSerializer(irBuiltIns.doubleType)) return doubleArraySerializer
        ""kotlin.LongArray"" -> if (!scope.hasCustomSerializer(irBuiltIns.longType)) return longArraySerializer
        ""android.util.SparseBooleanArray"" -> if (!scope.hasCustomSerializer(irBuiltIns.booleanType)) return sparseBooleanArraySerializer
        ""kotlin.UByteArray"" -> return ubyteArraySerializer
        ""kotlin.UShortArray"" -> return wrapNullableSerializerIfNeeded(irType, ushortArraySerializer)
        ""kotlin.UIntArray"" -> return uintArraySerializer
        ""kotlin.ULongArray"" -> return ulongArraySerializer
        ""kotlin.time.Duration"" -> return wrapNullableSerializerIfNeeded(irType, durationSerializer)
    }
    when (classifierFqName) {
        ""kotlin.Array"", ""kotlin.ShortArray"", ""kotlin.IntArray"", ""kotlin.BooleanArray"", ""kotlin.ByteArray"", ""kotlin.CharArray"", ""kotlin.FloatArray"", ""kotlin.DoubleArray"", ""kotlin.LongArray"" -> {
            val elementType = irType.getArrayElementType(irBuiltIns)
            if (!scope.hasCustomSerializer(elementType)) { when (elementType.erasedUpperBound.fqNameWhenAvailable?.asString()) {
                ""java.lang.String"", ""kotlin.String"" -> return stringArraySerializer
                ""android.os.IBinder"" -> return iBinderArraySerializer
            } }
            val arrayType = if (classifier.defaultType.isPrimitiveArray()) classifier.defaultType else irBuiltIns.arrayClass.typeWith(elementType)
            return wrapNullableSerializerIfNeeded(irType, IrArrayParcelSerializer(arrayType, elementType, get(elementType, scope, parcelizeType, strict())))
        }
        ""android.util.SparseBooleanArray"" -> return wrapNullableSerializerIfNeeded(irType, IrSparseArrayParcelSerializer(classifier, irBuiltIns.booleanType, get(irBuiltIns.booleanType, scope, parcelizeType, strict())))
        ""android.util.SparseIntArray"" -> return wrapNullableSerializerIfNeeded(irType, IrSparseArrayParcelSerializer(classifier, irBuiltIns.intType, get(irBuiltIns.intType, scope, parcelizeType, strict())))
        ""android.util.SparseLongArray"" -> return wrapNullableSerializerIfNeeded(irType, IrSparseArrayParcelSerializer(classifier, irBuiltIns.longType, get(irBuiltIns.longType, scope, parcelizeType, strict())))
        ""android.util.SparseArray"" -> {
            val elementType = (irType as IrSimpleType).arguments.single().upperBound(irBuiltIns)
            return wrapNullableSerializerIfNeeded(irType, IrSparseArrayParcelSerializer(classifier, elementType, get(elementType, scope, parcelizeType, strict())))
        }
        in supportedByListSerializer -> {
            val elementType = (irType as IrSimpleType).arguments.single().upperBound(irBuiltIns)
            if (!scope.hasCustomSerializer(elementType) && classifierFqName in supportedBySimpleListSerializer) {
                val elementTypeAsString = elementType.erasedUpperBound.fqNameWhenAvailable?.asString()
                val simpleSerializer = if (classifierFqName in BuiltinParcelableTypes.IMMUTABLE_LIST_FQNAMES) { when (elementTypeAsString) {
                    ""android.os.IBinder"" -> iBinderPersistentListSerializer
                    ""kotlin.String"", ""java.lang.String"" -> stringPersistentListSerializer
                    else -> null
                } } else { when (elementTypeAsString) {
                    ""android.os.IBinder"" -> iBinderListSerializer
                    ""kotlin.String"", ""java.lang.String"" -> stringListSerializer
                    else -> null
                } }
                if (simpleSerializer != null) {
                    return simpleSerializer
                }
            }
            val listSerializer = IrListParcelSerializer(classifier, elementType, get(elementType, scope, parcelizeType, strict()))
            val actualSerializer = when (classifierFqName) {
                in BuiltinParcelableTypes.IMMUTABLE_LIST_FQNAMES -> IrExtensionFunctionOnReadCallingSerializer(delegated = listSerializer, converterExtensionFunction = symbols.kotlinIterableToPersistentListExtension)
                in BuiltinParcelableTypes.IMMUTABLE_SET_FQNAMES -> IrExtensionFunctionOnReadCallingSerializer(delegated = listSerializer, converterExtensionFunction = symbols.kotlinIterableToPersistentSetExtension)
                else -> listSerializer
            }
            return wrapNullableSerializerIfNeeded(irType, actualSerializer)
        }
        in supportedByMapSerializer -> {
            val keyType = (irType as IrSimpleType).arguments[0].upperBound(irBuiltIns)
            val valueType = irType.arguments[1].upperBound(irBuiltIns)
            val mapSerializer = IrMapParcelSerializer(classifier, keyType, valueType, get(keyType, scope, parcelizeType, strict()), get(valueType, scope, parcelizeType, strict()))
            val actualSerializer = if (classifierFqName in BuiltinParcelableTypes.IMMUTABLE_MAP_FQNAMES) {
                IrExtensionFunctionOnReadCallingSerializer(mapSerializer, symbols.kotlinMapToPersistentMapExtension)
            } else {
                mapSerializer
            }
            return wrapNullableSerializerIfNeeded(irType, actualSerializer)
        }
    }
    when {
        classifier.isSubclassOfFqName(""android.os.Parcelable"") && !(toplevel && (classifier.isObject || classifier.isEnumClass)) -> {
            return if (classifier.modality == Modality.FINAL && classifier.metadata != null && (classifier.isParcelize(parcelizeAnnotations) || classifier.hasCreatorField)) {
                wrapNullableSerializerIfNeeded(irType, IrEfficientParcelableParcelSerializer(classifier))
            } else {
                IrGenericParcelableParcelSerializer(parcelizeType)
            }
        }
        classifier.isSubclassOfFqName(""android.os.IBinder"") -> return iBinderSerializer
        classifier.isObject -> return IrObjectParcelSerializer(classifier)
        classifier.isEnumClass -> return wrapNullableSerializerIfNeeded(irType, IrEnumParcelSerializer(classifier))
        classifier.isSubclassOfFqName(""java.io.Serializable"") || irType.isFunctionTypeOrSubtype() || irType.isSuspendFunctionTypeOrSubtype() -> return serializableSerializer
        strict() -> throw IllegalArgumentException(""Illegal type, could not find a specific serializer for ${irType.render()}"")
        else -> return IrParcelSerializerWithClassLoader(parcelizeType, symbols.parcelReadValue, symbols.parcelWriteValue)
    }
}","/**

     * Resolve the given [irType] to a corresponding [IrParcelSerializer]. This depends on the TypeParcelers which

     * are currently in [scope], as well as the type of the enclosing Parceleable class [parcelizeType], which is needed

     * to get a class loader for reflection based serialization. Beyond this, we need to know whether to allow

     * using read/writeValue for serialization (if [strict] is false). Beyond this, we need to know whether we are

     * producing parcelers for properties of a Parcelable (if [toplevel] is true), or for a complete Parcelable.

     */",f10266:m95
48516,fun findSharedLib(buildType: String): SharedLibrary?,"findSharedLib("""", buildType)",/** Returns a shared library with the empty name prefix and the given build type. Returns null if there is no such binary. */,f15652:m231
58243,@kotlin.internal.InlineOnly public inline operator fun rem(other: ULong): ULong,"ulongRemainder(this, other)","/**

     * Calculates the remainder of truncating division of this value (dividend) by the other value (divisor).

     *

     * The result is always less than the divisor.

     */",f17066:m293
63476,"@SinceKotlin(""1.4"") public actual fun IntArray?.contentToString(): String","{
    return this?.joinToString("", "", ""["", ""]"") ?: ""null""
}","/**

 * Returns a string representation of the contents of the specified array as if it is [List].

 * 

 * @sample samples.collections.Arrays.ContentOperations.contentToString

 */",f17396:m2077
7886,"fun DependencyHandler.moduleTest(dependency: ProjectDependency, moduleName: String): ProjectDependency","dependency.copy().apply { capabilities { requireCapability(CppConsumerPlugin.moduleTestCapability(dependencyProject, moduleName)) } }","/**

 * Depend on [CompileToBitcodePlugin]'s module (test part) named [moduleName] defined in [dependency].

 */",f3152:m61
56536,"@Suppress(""DEPRECATION"") @Deprecated(""Use appendLine instead. Note that the new method always appends the line feed character '\\n' regardless of the system line separator."", ReplaceWith(""appendLine(value)""), level = DeprecationLevel.WARNING) @kotlin.internal.InlineOnly public inline fun StringBuilder.appendln(value: Short): StringBuilder",append(value.toInt()).appendln(),"/** Appends [value] to this [StringBuilder], followed by a line separator. */",f16890:m743
17110,@Test fun testTheSameValueIsComputedFromDifferentThreads(),"{
    val valueWithPostCompute = ValueWithPostCompute(key = 1, calculate = { Thread.currentThread().name to Unit }, postCompute = { _, _, _ ->})
    val results = ConcurrentLinkedQueue<String>()
    val threads = (0 .. 9).map { threadIndex -> thread(name = ""t${threadIndex}"", start = false) { results.offer(valueWithPostCompute.getValue()) } }
    threads.forEach { it.start() }
    threads.forEach { it.join() }
    val resultsList = results.toList()
    Assertions.assertEquals(threads.size, results.size)
    Assertions.assertTrue(resultsList.all { it == resultsList[0] }, ""All results got from ValueWithPostCompute should be equal, but was $resultsList"")
}","/**

     * Tests the following scenario:

     *  - thread `t1` access the cache and executes `calculate()` and then `postCompute()` under a lock hold

     *  - while the lock hold  by `t1`, `t2` tries to also access the value and waits for the lock to be released by `t1`

     *  - t1: during the post compute, some recoverable (e.g., PCE) exception happens inside the `postCompute()` and exception is not saved in the cache and rethrown

     *  - t1 releases the lock with the `value` set to `ValueIsNotComputed`

     *  - t2 acquires the lock and should try to recalculate the value in this case

     */",f5152:m35
20257,public fun KtDeclaration.getOriginalDeclaration(): KtDeclaration?,withValidityAssertion { analysisSession.originalPsiProvider.getOriginalDeclaration(this) },"/**

     * If [KtDeclaration] is a non-local declaration in a fake file analyzed in dependent session, returns the original declaration

     * for [this]. Otherwise, returns `null`.

     */",f5806:m41
63582,"@SinceKotlin(""1.4"") @Suppress(""ACTUAL_FUNCTION_WITH_DEFAULT_ARGUMENTS"") public actual fun ByteArray.sort(fromIndex: Int = 0, toIndex: Int = size): Unit","{
    AbstractList.checkRangeIndexes(fromIndex, toIndex, size)
    sortArray(this, fromIndex, toIndex)
}","/**

 * Sorts a range in the array in-place.

 * 

 * @param fromIndex the start of the range (inclusive) to sort, 0 by default.

 * @param toIndex the end of the range (exclusive) to sort, size of this array by default.

 * 

 * @throws IndexOutOfBoundsException if [fromIndex] is less than zero or [toIndex] is greater than the size of this array.

 * @throws IllegalArgumentException if [fromIndex] is greater than [toIndex].

 * 

 * @sample samples.collections.Arrays.Sorting.sortRangeOfArray

 */",f17396:m4849
63538,"@SinceKotlin(""1.3"") @Suppress(""ACTUAL_FUNCTION_WITH_DEFAULT_ARGUMENTS"") public actual fun ShortArray.fill(element: Short, fromIndex: Int = 0, toIndex: Int = size): Unit","{
    AbstractList.checkRangeIndexes(fromIndex, toIndex, size)
    for (index in fromIndex until toIndex) {
        this[index] = element
    }
}","/**

 * Fills this array or its subrange with the specified [element] value.

 * 

 * @param fromIndex the start of the range (inclusive) to fill, 0 by default.

 * @param toIndex the end of the range (exclusive) to fill, size of this array by default.

 * 

 * @throws IndexOutOfBoundsException if [fromIndex] is less than zero or [toIndex] is greater than the size of this array.

 * @throws IllegalArgumentException if [fromIndex] is greater than [toIndex].

 */",f17396:m3835
56391,"@SinceKotlin(""1.3"") @ExperimentalUnsignedTypes public fun Random.nextUBytes(array: UByteArray): UByteArray","{
    nextBytes(array.asByteArray())
    return array
}","/**

 * Fills the specified unsigned byte [array] with random bytes and returns it.

 *

 * @return [array] filled with random bytes.

 */",f16860:m241
64460,"@SinceKotlin(""1.5"") @WasExperimental(ExperimentalPathApi::class) @Throws(IOException::class) @kotlin.internal.InlineOnly public inline fun Path.writeLines(lines: Iterable<CharSequence>, charset: Charset = Charsets.UTF_8, vararg options: OpenOption): Path","{
    return Files.write(this, lines, charset, *options)
}","/**

 * Write the specified collection of char sequences [lines] to a file terminating each one with the platform's line separator.

 *

 * By default, the file will be overwritten if it already exists, but you can control this behavior

 * with [options].

 *

 * @param charset character set to use for writing text, UTF-8 by default.

 */",f17469:m573
56876,"@SinceKotlin(""1.6"") @WasExperimental(ExperimentalStdlibApi::class) @kotlin.internal.InlineOnly public actual inline fun Long.rotateRight(bitCount: Int): Long","java.lang.Long.rotateRight(this, bitCount)","/**

 * Rotates the binary representation of this [Long] number right by the specified [bitCount] number of bits.

 * The least significant bits pushed out from the right side reenter the number as the most significant bits on the left side.

 *

 * Rotating the number right by a negative bit count is the same as rotating it left by the negated bit count:

 * `number.rotateRight(-n) == number.rotateLeft(n)`

 *

 * Rotating by a multiple of [Long.SIZE_BITS] (64) returns the same number, or more generally

 * `number.rotateRight(n) == number.rotateRight(n % 64)`

 */",f16929:m435
56091,internal fun <T> Iterable<T>.convertToListIfNotCollection(): Collection<T>,if (this is Collection) this else toList(),"/**

 * Converts this [Iterable] to a list if it is not a [Collection].

 * Otherwise, returns this.

 */",f16825:m283
57478,"@SinceKotlin(""1.4"") @OptIn(kotlin.experimental.ExperimentalTypeInference::class) @OverloadResolutionByLambdaReturnType @kotlin.jvm.JvmName(""sumOfBigInteger"") @kotlin.internal.InlineOnly public inline fun BooleanArray.sumOf(selector: (Boolean) -> java.math.BigInteger): java.math.BigInteger","{
    var sum: java.math.BigInteger = 0.toBigInteger()
    for (element in this) {
        sum += selector(element)
    }
    return sum
}","/**

 * Returns the sum of all values produced by [selector] function applied to each element in the array.

 */",f16970:m6145
63635,"@SinceKotlin(""1.4"") public actual fun maxOf(a: Short, vararg other: Short): Short","{
    var max = a
    for (e in other) max = maxOf(max, e)
    return max
}","/**

 * Returns the greater of the given values.

 */",f17406:m343
13519,public operator fun rangeTo(other: Long): LongRange,"LongRange(this.toLong(), other)",/** Creates a range from this value to the specified [other] value. */,f3686:m627
63545,public actual operator fun <T> Array<T>.plus(element: T): Array<T>,"{
    val index = size
    val result = copyOfUninitializedElements(index + 1)
    result[index] = element
    return result
}","/**

 * Returns an array containing all elements of the original array and then the given [element].

 */",f17396:m4087
